onset	duration	trial_type	stimulus
21.629	0.3700000000000001	Word	lorsque
21.999	0.02	Word	j
22.109	0.2299999999999999	Word	avais
22.51	0.2499999999999995	Word	six
22.76	0.1800000000000006	Word	ans
22.98	0.1399999999999996	Word	j
23.12	0.234013	Word	ai
23.44	0.2904290000000014	Word	vu
23.731	0.3501379999999985	Word	une
24.081	0.33	Word	fois
24.721	0.4599999999999999	Word	une
25.181	0.6100000000000003	Word	magnifique
25.791	0.5	Word	image
26.441	0.3199999999999994	Word	dans
26.762	0.200000000000001	Word	un
26.962	0.2699999999999996	Word	livre
27.232	0.1999999999999993	Word	sur
27.432	0.0999999999999996	Word	la
27.532	0.3800000000000008	Word	forêt
27.912	0.4800000000000004	Word	vierge
28.392	0.1799999999999997	Word	qui
28.573	0.129999999999999	Word	s
28.702	0.4400000000000013	Word	appelait
29.393	0.5399999999999991	Word	histoires
29.933	0.4399999999999995	Word	vécues
31.222	0.3099999999999987	Word	ça
31.532	0.5899999999999999	Word	représentait
32.122	0.1300000000000007	Word	un
32.252	0.4900000000000002	Word	serpent
32.743	0.379999999999999	Word	boa
33.352	0.1799999999999997	Word	qui
33.532	0.4600000000000008	Word	avalait
33.992	0.1400000000000005	Word	un
34.132	0.5799999999999983	Word	fauve
35.302	0.4100000000000001	Word	voilà
35.712	0.1300000000000025	Word	la
35.842	0.389999999999997	Word	copie
36.233	0.0750000000000028	Word	du
36.383	0.3999999999999986	Word	dessin
38.052	0.0600000000000022	Word	on
38.111	0.4100000000000001	Word	disait
38.522	0.1699999999999981	Word	dans
38.692	0.1500000000000021	Word	le
38.842	0.509999999999998	Word	livre
39.563	0.1900000000000012	Word	les
39.753	0.4799999999999969	Word	serpents
40.232	0.4299999999999997	Word	boas
40.723	0.5500000000000007	Word	avalent
41.272	0.1899999999999977	Word	leur
41.463	0.3599999999999994	Word	proie
41.983	0.25	Word	tout
42.233	0.6600000000000001	Word	entière
42.893	0.3500000000000014	Word	sans
43.243	0.129999999999999	Word	la
43.373	0.490000000000002	Word	mâcher
44.392	0.5199999999999996	Word	ensuite
44.912	0.1000000000000014	Word	ils
45.012	0.1400000000000005	Word	ne
45.152	0.2300000000000004	Word	peuvent
45.383	0.259999999999998	Word	plus
45.643	0.4642400000000002	Word	bouger
46.288	0.1711549999999988	Word	et
46.459	0.1439419999999991	Word	ils
46.602	0.4200000000000017	Word	dorment
47.023	0.3299999999999983	Word	pendant
47.353	0.1400000000000005	Word	les
47.493	0.3200000000000003	Word	six
47.813	0.2800000000000011	Word	mois
48.093	0.0999999999999978	Word	de
48.193	0.1700000000000017	Word	leur
48.363	0.5999999999999979	Word	digestion
50.777	0.1457989999999966	Word	j
50.923	0.1014249999999989	Word	ai
51.024	0.3576150000000027	Word	alors
51.382	0.6099999999999994	Word	beaucoup
51.992	0.6700000000000017	Word	réfléchi
52.662	0.1700000000000017	Word	sur
52.832	0.2199999999999988	Word	les
53.052	0.5	Word	aventures
53.552	0.1200000000000045	Word	de
53.672	0.1399999999999934	Word	la
53.812	0.480000000000004	Word	jungle
54.812	0.1700000000000017	Word	et
55.182	0.1299999999999954	Word	à
55.312	0.2000000000000028	Word	mon
55.513	0.3400000000000034	Word	tour
56.063	0.1400000000000005	Word	j
